Artist ,Song 
Drake,We Caa Done 
Sean Paul ,Get Busy
Skeng ,Life Changes 
Tommy Lee,Tattoo
Vybz Kartel ,Summertime 
Yellowman ,Zungguzungguguzungguzeng
Beres Hammond,Rock Away 
Sizzla ,Give Me a Try 
Peter Tosh,Legalize It
Super Cat,Dem No Worry We
Skeng ,Protocol 
Koffee ,Toast 
Popcaan,Stray Dog
Damian Marley ,Welcome to Jamrock 
Barrington Levy,Under Mi Sensi
Burna Boy ,Last Last 
Bob Marley ,Jamming
Masicka ,Feisty 
Skeng ,Gvnman Session 
Half Pint,Greetings 
Black Sherif,Konongo Zongo
Barrington Levy,Here I Come 
Buju Banton ,Murderer
Alkaline ,City 
Cocoa Tea,Young Lover 
Pass The Dutchie,Musical Youth 
Koffee ,Pressure
Bob Marley & The Wailers,Could You Be Loved
Sister Nancy,Bam Bam 
Beenie Man,King of the Dancehall 
Beenie Man,Sim Simma 
Vybz Kartel ,Last Man Standing 
Vybz Kartel ,Badda Dan Dem
Vybz Kartel ,Sen on 
Vybz Kartel ,Half On A Baby 
Vybz Kartel ,Benz Punany 
Bob Marley ,Stir it Up 
Dennis Brown,Money In My Pocket
The Melodians ,Rivers Of Babylon
Freddie McGregor,I Was Born a Winner 
Tenor Saw,Ring the Alarm 
Garnett Silk ,Zion in a Vision 
Garnett Silk ,Kingly Character 
Garnett Silk ,Oh Me Oh My 
Garnett Silk ,Bless Me 
Squash ,Lattry 
Marksman,Top Coote 
Skeng ,Rain Like Hail 
Daddy1,Anthem
Intence ,Yeng 
Alkaline ,With the Thing
Alkaline ,Load Up
Squash ,Still a Roam 
Masicka ,Drug Lawd
Skillibeng ,Hot 
Skillibeng ,Coke 
Skillibeng ,Crocodile Teeth 
Alkaline ,Cree
Squash ,Bandulu 
Damian Marley ,Medication 
Damian Marley ,Affairs of the Heart 
Burna Boy ,Omo
1da Banton ,No Wahala 
Black Sherif,Second Sermon 
Runtown ,Mad Over You 
Rema ,Calm Down 
Rema ,Dumebi
Asake ,Yoga 
Asake ,Terminator 
Masicka ,Umbrella 
Shaggy ,Oh Carolina 
Shaggy ,Boombastic 
Pat Kelly ,Talk About Love 
Bob Marley & The Wailers,Redemption Song 
Dawn Penn,You Don't Love Me 
Masicka ,I Wish 
Elephant Man ,"Pon de River , Pon de Bank "
Cham ,Ghetto Story 
Sanchez ,Forever 
Tony Rebel ,Fresh Vegetable 
Mr.Vegas ,Tek Weh Yuhself 
Mavado ,Last Night 
Isasha ,Don't You Know 
Munga ,Bad From Mi Born 
Sean Paul ,Gimme The Light 
Vybz Kartel ,Dancehall Hero 
Tarrus Riley ,Simple Blessings 
Gold Gad ,Client Convo 
Alkaline ,Weh We A Guh Do 
Skeng ,Full Moon 
Buju Banton ,Untold Stories 
Popcaan,God is Love 
Vybz Kartel ,Protect Me 
Masicka ,Promise 
Chronixx ,I Can 
Chronixx ,Skankin' Sweet 
Chronixx ,Likes 
Chronixx ,Selassie Children 
Chronixx ,Smile Jamaica 
Jahshii ,Born Fighter 
